X_INDEX;Y_INDEX;GRID005ID;AOI;X_MIN;X_CENTER;X_MAX;Y_MIN;Y_CENTER;Y_MAX;SHAPE_AREA;SHAPE_LENG;INDEX_LABE;PRE_1980;POST_1980;LOW_RISE;MID_RISE;HIGH_RISE;MODERATE;M5;M2_ADOBE;STONE;ALL_YEAR;TYPE;RISE;TOTAL;RC_L;M1_L;M2_L;M5_L;RC_M;M1_M;M2_M;M5_M;RC_H;M1_H;M2_H;M5_H;TOTAL_BLD;POPULATION
557;831;5570831;1;27.850000;27.875000;27.900000;41.550000;41.575000;41.600000;0.002500;0.200000;0;11.960493;12.593999;24.554492;0.000000;0.000000;17.517175;5.831197;1.088997;0.114668;24.554492;48.991861000000000;24.554492;24.554492;17.517175;0.114668;1.088997;5.831197;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;24.552037;163
558;831;5580831;1;27.900000;27.925000;27.950000;41.550000;41.575000;41.600000;0.002500;0.200000;0;9.416280;10.337785;19.681171;0.071371;0.001523;13.846355;4.852862;0.950799;0.102196;19.754065;39.404081000000000;19.754065;19.754065;13.795261;0.101819;0.947290;4.834955;0.050026;0.000369;0.003435;0.017533;0.001068;0.000008;0.000073;0.000374;19.752211;135
559;831;5590831;1;27.950000;27.975000;28.000000;41.550000;41.575000;41.600000;0.002500;0.200000;0;24.805452;29.536622;53.752843;0.576918;0.012312;36.777546;14.211987;3.013926;0.334170;54.342074;108.345533000000000;54.342074;54.342074;36.378768;0.330547;2.981246;14.057887;0.390446;0.003548;0.031997;0.150880;0.008333;0.000076;0.000683;0.003220;54.337631;392
560;831;5600831;1;28.000000;28.025000;28.050000;41.550000;41.575000;41.600000;0.002500;0.200000;0;15.317819;17.538390;32.613221;0.237911;0.005077;22.618942;8.341605;1.706194;0.186591;32.856209;65.522951000000000;32.856209;32.856209;22.451663;0.185211;1.693576;8.279915;0.163783;0.001351;0.012355;0.060401;0.003495;0.000029;0.000264;0.001289;32.853332;231
561;831;5610831;1;28.050000;28.075000;28.100000;41.550000;41.575000;41.600000;0.002500;0.200000;0;40.097444;67.023195;102.844163;4.187117;0.089359;61.976328;34.923687;9.133359;1.083740;107.120639;213.154013000000000;107.120639;107.120639;59.502106;1.040475;8.768737;33.529461;2.422522;0.042361;0.357003;1.365092;0.051700;0.000904;0.007619;0.029133;107.117113;938
562;831;5620831;1;28.100000;28.125000;28.150000;41.550000;41.575000;41.600000;0.002500;0.200000;0;41.385885;87.096279;123.107676;5.265695;0.104337;71.071104;46.644013;8.936130;1.826865;128.482164;255.133410000000000;128.477708;128.477708;68.100518;1.750507;8.562623;44.694415;2.912869;0.074875;0.366250;1.911718;0.057717;0.001484;0.007257;0.037880;128.478113;1414
563;831;5630831;1;28.150000;28.175000;28.200000;41.550000;41.575000;41.600000;0.002500;0.200000;0;18.862538;38.650951;57.021509;0.486230;0.000000;36.224647;20.185380;0.125573;0.972661;57.513489;114.049090000000000;57.507739;57.507739;35.918366;0.964437;0.124512;20.014712;0.306281;0.008224;0.001062;0.170668;0.000000;0.000000;0.000000;0.000000;57.508262;764
560;828;5600828;1;28.000000;28.025000;28.050000;41.400000;41.425000;41.450000;0.002500;0.200000;0;13.938604;29.755350;41.094048;2.545580;0.054326;22.390241;16.142704;4.602223;0.558786;43.693955;86.829124000000000;43.693955;43.693955;21.057962;0.525537;4.328378;15.182170;1.304440;0.032554;0.268122;0.940463;0.027839;0.000695;0.005722;0.020071;43.693953;428
561;828;5610828;1;28.050000;28.075000;28.100000;41.400000;41.425000;41.450000;0.002500;0.200000;0;25.304353;54.018313;74.602756;4.621285;0.098625;40.647583;29.305710;8.354945;1.014428;79.322666;157.630904000000000;79.322666;79.322666;38.228944;0.954067;7.857804;27.561942;2.368101;0.059100;0.486753;1.707331;0.050539;0.001261;0.010388;0.036437;79.322667;777
562;828;5620828;1;28.100000;28.125000;28.150000;41.400000;41.425000;41.450000;0.002500;0.200000;0;43.464253;90.211285;130.389145;3.224938;0.052295;79.256601;47.693146;4.630184;2.087279;133.675538;265.255469000000000;133.666378;133.666378;77.313387;2.036103;4.516661;46.523805;1.912206;0.050359;0.111711;1.150682;0.031008;0.000817;0.001811;0.018659;133.667209;1629
